genre,count
bassline,47
gnawa,47
red dirt,47
grindcore,46
retro pop,45
traditional music,45
drift phonk,44
j-rock,41
hardcore hip hop,41
christian pop,40
space music,37
horrorcore,37
german hip hop,37
indie r&b,36
corrido,36
synthwave,36
choral,35
melodic rap,34
screamo,34
funk carioca,34
shibuya-kei,33
azonto,33
miami bass,32
pagode,32
pop country,32
tropical music,31
hardcore techno,31
arena rock,31
qawwali,30
schlagerparty,30
huayno,30
drum and bass,29
acid techno,28
vietnamese bolero,27
zouk,27
sufi,27
freestyle,27
highlife,26
uk funky,26
champeta,26
ebm,26
latin country,26
doom metal,25
pagode baiano,24
contemporary r&b,24
funk de bh,24
bollywood,24
mathcore,23
timba,22
japanese indie,22
canzone napoletana,22
breakcore,22
boogie,22
metalcore,21
worship,21
brazilian phonk,21
corridos tumbados,20
popular colombian music,20
jungle,20
dark ambient,19
gospel,18
egg punk,18
crunk,18
footwork,18
christian alternative rock,18
hiplife,17
acoustic country,17
christian rock,17
riddim,17
hard techno,16
raï,16
hyphy,16
k-rap,16
trap soul,16
sertanejo,16
mambo,16
brega,15
christian country,15
tekno,15
ghazal,15
sertanejo universitário,15
drumstep,14
corridos bélicos,14
dansktop,14
sad sierreño,14
honky tonk,14
tejano,14
pop rock,14
mizrahi,13
chinese hip hop,13
dansk rap,13
rally house,13
chinese r&b,13
polka,13
power metal,12
turkish hip hop,12
indie electronic,12
go-go,12
opm,12
sertanejo tradicional,12
bhajan,12
ccm,11
desi,11
indie québécois,11
sierreño,11
liquid funk,11
rock quebecois,11
turkish pop,11
traditional country,11
deathstep,10
singeli,10
baltimore club,10
calypso,10
j-pop,10
cedm,10
jersey club,10
gregorian chant,10
hindi pop,10
brega funk,10
rage rap,9
kuduro,9
anatolian rock,9
hollands,9
afro soul,9
indonesian hip hop,8
vocaloid,8
kundiman,8
son jarocho,8
afro tech,8
southern gospel,7
chicago drill,7
death metal,7
anime rap,7
bounce,7
j-r&b,7
funk melody,7
indonesian r&b,7
black metal,7
amapiano,6
p-pop,6
country hip hop,6
norwegian hip hop,6
trap funk,6
christian folk,6
bubblegum pop,6
shatta,5
new orleans bounce,5
k-rock,5
iskelmä,5
arrocha,5
forró,5
nightcore,5
gospel r&b,5
chinese indie,5
indonesian indie,5
melodic death metal,5
symphonic metal,5
indorock,4
desi pop,4
italian trap,4
trap metal,4
seresta,4
moroccan pop,4
gqom,4
brazilian trap,4
hindi hip hop,4
sexy drill,4
pop worship,4
taiwanese pop,3
speedcore,3
funk consciente,3
indonesian pop,3
texas country,3
entehno,3
bacardi,3
dansband,3
punjabi pop,3
hindi indie,3
mahraganat,3
taiwanese indie,3
indonesian rock,3
k-ballad,3
arabic hip hop,3
pinoy rock,2
gujarati garba,2
v-pop,2
vietnamese hip hop,2
frenchcore,2
moroccan rap,2
indian indie,2
mandopop,2
vinahouse,2
kollywood,2
folk metal,2
happy hardcore,2
dembow belico,2
finnish pop,2
gujarati pop,2
desi hip hop,2
tamil pop,2
bikutsi,2
pentecostal,2
portuguese hip hop,2
c-pop,2
arabesk,2
noise music,2
malaysian pop,2
norteño-sax,2
maskandi,1
dangdut,1
piseiro,1
rumba congolaise,1
neomelodico,1
egyptian hip hop,1
bhangra,1
malayalam pop,1
pinoy alternative,1
agronejo,1
bisrock,1
funkot,1
duranguense,1
afro adura,1
disco polo,1
punjabi hip hop,1
malay,1
gufeng,1
hard house,1
thai pop,1
cantopop,1
chinese rock,1
mollywood,1
afropiano,1
tamil dance,1
indonesian jazz,1
j-rap,1
